"lang"
{
    "Language"    "english"
        "DOTA_Tooltip_Ability_ice_mage_passive_bone_chill_duration"    "BONECHILL DURATION:"
        "DOTA_Tooltip_Ability_ice_mage_passive_mana_regen"    "BONECHILL ENERGY PER SECOND:"
        "DOTA_Tooltip_Ability_ice_mage_passive_chill_duration"    "CHILL DURATION:"
        "DOTA_Tooltip_Ability_ice_mage_passive_ms_slow"    "%CHILL SLOW:"
        "DOTA_Tooltip_Ability_m1_omni_basic_attack"    "Hammer of Justice"
        "DOTA_Tooltip_Ability_m1_omni_basic_attack_description"    "Paladin swings his mighty hammer at his foes, dealing damage in an area infront of him."
        "DOTA_Tooltip_Ability_m1_omni_basic_attack_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m1_omni_basic_attack_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_direct_heal"    "Holy Light"
        "DOTA_Tooltip_Ability_m2_direct_heal_description"    "Paladin calls upon the light to heal all his allies in a targeted area."
        "DOTA_Tooltip_Ability_m2_direct_heal_heal"    "HEAL:"
        "DOTA_Tooltip_Ability_m2_direct_heal_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_q_armor_aura"    "Holy Ward"
        "DOTA_Tooltip_Ability_q_armor_aura_description"    "Paladin grants all of his allies a protective ward that increases their armour. If Paladin uses <b><font color=\"#ffffff\">Judgement</font></b> while using this aura, then it reduces the targeted enemies armour."
        "DOTA_Tooltip_Ability_q_armor_aura_armor_plus"    "ARMOUR:"
        "DOTA_Tooltip_Ability_q_armor_aura_armor_minus"    "ARMOUR REDUCTION:"
        "DOTA_Tooltip_Ability_e_regen_aura"    "Divine Light"
        "DOTA_Tooltip_Ability_e_regen_aura_description"    "Paladin covers his allies in a divine light that grants all allies health regeneration. If Paladin uses <b><font color=\"#ffffff\">Judgement</font></b> while using this aura, then it applies a damage over time effect to all targeted enemmies."
        "DOTA_Tooltip_Ability_e_regen_aura_regen_plus"    "HEALTH REGENERATION PER SECOND:"
        "DOTA_Tooltip_Ability_e_regen_aura_regen_minus"    "DAMAGE PER SECOND:"
        "DOTA_Tooltip_Ability_r_outgoing_dmg"    "Zealotry"
        "DOTA_Tooltip_Ability_r_outgoing_dmg_description"    "Paladin inspires all allies with a zealous fervour, increasing their damage. If Paladin uses <b><font color=\"#ffffff\">Judgement</font></b> while using this aura, then <b><font color=\"#ffffff\">Judgement</font></b> deals additional damage."
        "DOTA_Tooltip_Ability_r_outgoing_dmg_outgoing_plus"    "%DAMAGE AURA:"
        "DOTA_Tooltip_Ability_r_outgoing_dmg_r_dmg"    "JUDGEMENT DAMAGE:"
        "DOTA_Tooltip_Ability_space_judgement"    "Judgement"
        "DOTA_Tooltip_Ability_space_judgement_description"    "Paladin judges all enemies in a targeted area, consuming active auras to deal additional effects."
        "DOTA_Tooltip_Ability_space_judgement_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_nocens_passive"    "Crusader"
        "DOTA_Tooltip_Ability_nocens_passive_description"    "Paladin's devotion to the light allows him to empower his allies with auras as well as burn his enemies with his <b><font color=\"#ffffff\">Judgement</font></b>. Consuming any auras with <b><font color=\"#ffffff\">Judgement</font></b> increases its damage and deals additional effects."
        "DOTA_Tooltip_Ability_nocens_passive_Note0"    "Paladin may have only one active aura at a time."
        "DOTA_Tooltip_Ability_nocens_passive_Note1"    "Paladin auras have global range."
        "DOTA_Tooltip_Ability_nocens_passive_dmg"    "AURA DAMAGE:"
        "DOTA_Tooltip_Ability_nocens_passive_debuff_duration"    "DEBUFF DURATION:"
        "DOTA_Tooltip_Ability_nocens_passive_aura_cooldown"    "AURA COOLDOWN:"
        "DOTA_Tooltip_Ability_m1_qop_basic_attack"    "Shadow Strike"
        "DOTA_Tooltip_Ability_m1_qop_basic_attack_description"    "Akasha throws a cursed dagger that deals damage to an enemy."
        "DOTA_Tooltip_Ability_m1_qop_basic_attack_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m1_qop_basic_attack_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_qop_direct_heal"    "Blood Light"
        "DOTA_Tooltip_Ability_m2_qop_direct_heal_description"    "Akasha bathes an ally in blood. Subsequent casts will apply <b><font color=\"#f33939\">Blood Magic</font></b> to Akasha, doubling the manacost and healing. Healing an ally in this way applies <b><font color=\"#60f6ce\">Blood Pact</font></b>. "
        "DOTA_Tooltip_Ability_m2_qop_direct_heal_base_heal"    "HEAL:"
        "DOTA_Tooltip_Ability_m2_qop_direct_heal_duration_main_buff"    "BUFF DURATION:"
        "DOTA_Tooltip_Ability_m2_qop_direct_heal_duration_debuff"    "DEBUFF DURATION:"
        "DOTA_Tooltip_Ability_m2_qop_direct_heal_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_q_pen"    "Exsanguinate"
        "DOTA_Tooltip_Ability_q_pen_description"    "Akasha drains the blood out of an enemy, healing herself and dealing damage. If used on an ally, heals them instead."
        "DOTA_Tooltip_Ability_q_pen_Note0"    "Exsanguinate deals damage once per second"
        "DOTA_Tooltip_Ability_q_pen_max_ticks"    "DURATION:"
        "DOTA_Tooltip_Ability_q_pen_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_e_qop_shield"    "Blood Ward"
        "DOTA_Tooltip_Ability_e_qop_shield_description"    "Akasha casts a <b><font color=\"#ffffff\">Blood Ward</font></b> on the target and consumes all stacks of <b><font color=\"#f33939\">Blood Magic</font></b>, empowering it. If cast on an ally, <b><font color=\"#ffffff\">Blood Ward</font></b> absorbs incoming damage. If cast on an enemy, <b><font color=\"#ffffff\">Blood Ward</font></b> stores incoming damage for a duration, dealing a portion of that damage on expiration."
        "DOTA_Tooltip_Ability_e_qop_shield_Note0"    "The base cooldown for Blood Ward on allies is one second."
        "DOTA_Tooltip_Ability_e_qop_shield_Note1"    "The base cooldown for Blood Ward on enemies is two seconds."
        "DOTA_Tooltip_Ability_e_qop_shield_Note2"    "The cooldown of Blood Ward doubles per stack of Blood Magic on Akasha."
        "DOTA_Tooltip_Ability_e_qop_shield_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_qop_shield_base_bubble"    "SHIELD:"
        "DOTA_Tooltip_Ability_e_qop_shield_dmg_multiplier"    "%STORED DAMAGE:"
        "DOTA_Tooltip_Ability_r_delayed_aoe_heal"    "Vampiric Rune"
        "DOTA_Tooltip_Ability_r_delayed_aoe_heal_description"    "Akasha marks the target area with a powerful rune, dealing damage and granting mana over time until it explodes."
        "DOTA_Tooltip_Ability_r_delayed_aoe_heal_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_delayed_aoe_heal_dmg"    "DAMAGE PER SECOND:"
        "DOTA_Tooltip_Ability_r_delayed_aoe_heal_mana"    "MANA PER SECOND:"
        "DOTA_Tooltip_Ability_space_leap_of_grip"    "Deathgrip"
        "DOTA_Tooltip_Ability_space_leap_of_grip_description"    "Akasha pulls an ally towards herself. Has two charges that recover over time."
        "DOTA_Tooltip_Ability_space_leap_of_grip_Note0"    "Deathgrip can pull allies while stunned but not rooted."
        "DOTA_Tooltip_Ability_space_leap_of_grip_Note1"    "Deathgrip has two charges."
        "DOTA_Tooltip_Ability_space_leap_of_grip_speed"    "PULL SPEED:"
        "DOTA_Tooltip_Ability_space_leap_of_grip_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_qop_passive"    "Living Blood"
        "DOTA_Tooltip_Ability_qop_passive_description"    "If Akasha deals damage to an enemy while herself or an ally is affected by <b><font color=\"#60f6ce\">Blood Pact</font></b>, a portion of that damage will heal them."
        "DOTA_Tooltip_Ability_qop_passive_ADD HEALING PERCENT HERE"    "%HEAL:"
        "DOTA_Tooltip_Ability_m1_trackingshot"    "Farsight shot"
        "DOTA_Tooltip_Ability_m1_trackingshot_description"    "Windrunner shoots an enchanted arrow from her bow dealing damage to the target. Farsight shot does more damage with distance travelled."
        "DOTA_Tooltip_Ability_m1_trackingshot_base_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m1_trackingshot_dmg_dist_multi"    "%DISTANCE MULTIPLIER:"
        "DOTA_Tooltip_Ability_m1_trackingshot_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m1_trackingshot_mana_gain_percent"    "MANA GAIN:"
        "DOTA_Tooltip_Ability_m2_serratedarrow"    "Power shot"
        "DOTA_Tooltip_Ability_m2_serratedarrow_description"    "Windrunner charges her energy into a powerful shot, dealing damage to all enemies it pierces. Power Shot does more damage with distance travelled."
        "DOTA_Tooltip_Ability_m2_serratedarrow_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m2_serratedarrow_dmg_dist_multi"    "%DISTANCE MULTIPLIER:"
        "DOTA_Tooltip_Ability_m2_serratedarrow_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_serratedarrow_mana_gain_percent"    "MANA GAIN:"
        "DOTA_Tooltip_Ability_q_healing_arrow_v2"    "Mending arrow"
        "DOTA_Tooltip_Ability_q_healing_arrow_v2_description"    "Windrunner fires an arrow that heals all allies it hits. Mending arrow does more healing with distance travelled."
        "DOTA_Tooltip_Ability_q_healing_arrow_v2_heal"    "HEAL:"
        "DOTA_Tooltip_Ability_q_healing_arrow_v2_heal_dist_multi"    "%DISTANCE MULTIPLIER:"
        "DOTA_Tooltip_Ability_q_healing_arrow_v2_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_q_healing_arrow_v2_mana_gain_per_hit"    "MANA GAIN PER HIT:"
        "DOTA_Tooltip_Ability_e_whirling_winds"    "Whirling Winds"
        "DOTA_Tooltip_Ability_e_whirling_winds_description"    "Windrunner summons a tailwind in an area that increases the damage, projectile and movement speed of all allies, as well as reducing the cast point of abilities. Medusa benefits from the tailwind at all times."
        "DOTA_Tooltip_Ability_e_whirling_winds_cast_point_reduction"    "%CAST POINT REDUCTION:"
        "DOTA_Tooltip_Ability_e_whirling_winds_proj_speed_increase"    "%PROJECTILE SPEED:"
        "DOTA_Tooltip_Ability_e_whirling_winds_dmg_increase"    "%DAMAGE:"
        "DOTA_Tooltip_Ability_e_whirling_winds_ms_increase"    "%MOVEMENT SPEED:"
        "DOTA_Tooltip_Ability_e_whirling_winds_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_explosive_arrow"    "Explosive Arrow"
        "DOTA_Tooltip_Ability_r_explosive_arrow_description"    "Windrunner launches a long distance arrow that explodes on impact, dealing damage to all enemies in range."
        "DOTA_Tooltip_Ability_r_explosive_arrow_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_space_sprint"    "Haste"
        "DOTA_Tooltip_Ability_space_sprint_description"    "Windrunner channels the wind around her to temporarily increase her movespeed."
        "DOTA_Tooltip_Ability_space_sprint_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_space_sprint_movespeed_bonus_pct"    "%BONUS MOVESPEED:"
        "DOTA_Tooltip_Ability_rat_basic_attack"    "Rat basic"
        "DOTA_Tooltip_Ability_rat_basic_attack_description"    "Shoot your glizzy."
        "DOTA_Tooltip_Ability_rat_basic_attack_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_rat_basic_attack_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_rat_basic_attack_mana_gain_percent"    "ENERGY GAIN:"
        "DOTA_Tooltip_Ability_rat_m2"    "Boomerang"
        "DOTA_Tooltip_Ability_rat_m2_description"    "Fire a boomerang at the target has a chance to bounce to another target if you have 5 rat stacks."
        "DOTA_Tooltip_Ability_rat_m2_dmg"    "DAMAGE EACH:"
        "DOTA_Tooltip_Ability_rat_m2_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_q_eat_cheese"    "Eat cheese"
        "DOTA_Tooltip_Ability_q_eat_cheese_description"    "Eat cheese restoring 100hp."
        "DOTA_Tooltip_Ability_e_stim_pack"    "Pickle Juice"
        "DOTA_Tooltip_Ability_e_stim_pack_description"    "Drink some pickle juice. Allows you cast m1 and m2 while moving. Gives 5 rat stacks. Rat stacks do not get removed during movement. At the end of the duration get a debuff that slows you."
        "DOTA_Tooltip_Ability_e_stim_pack_buff_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_stim_pack_duration_debuff"    "DURATION:"
        "DOTA_Tooltip_Ability_e_stim_pack_ms_slow"    "SLOW:"
        "DOTA_Tooltip_Ability_r_infest"    "Infest"
        "DOTA_Tooltip_Ability_r_infest_description"    "Spit on target. All damage done during the duration is then dealt as a dot (damage / dot duration)"
        "DOTA_Tooltip_Ability_r_infest_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_infest_dot_duration"    "DOT DURATION:"
        "DOTA_Tooltip_Ability_space_burrow"    "Burrow"
        "DOTA_Tooltip_Ability_space_burrow_description"    "Burrow underground, invul, gain rat stacks, cannot move or shoot."
        "DOTA_Tooltip_Ability_space_burrow_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_rat_passive"    "Rat Passive"
        "DOTA_Tooltip_Ability_rat_passive_description"    "Standing still for 2 seconds generates 1 stack, Max 5 stacks. Each Rat Stack reduces cast point of m1 and m2 by 20%, If you move lose all stacks"
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2"    "Lacerate"
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2_description"    "Rogue delivers a quick slash to all enemies in front of her that deals damage and inflicts a bleed to all targets. Bleeds dealt by this ability are amplified by <b><font color=\"#6f92fc\">Envenom</font></b>."
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2_dmg_dot_base"    "BLEED DAMAGE:"
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2_bleed_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_m1_combo_hit_1_2_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_combo_breaker"    "Assassinate"
        "DOTA_Tooltip_Ability_m2_combo_breaker_description"    "Rogue assassinates the targets with a strike that consumes the bleeds from <font color=\"#9af9e0\">Lacerate</font> and <font color=\"#9af9e0\">Rupture</font>, dealing damage based on their remaing duration. Additionally it will consume 3 stacks of <font color=\"#9af9e0\">Envenom</font> and grants <font color=\"#6f92fc\">Adrenaline</font>."
        "DOTA_Tooltip_Ability_m2_combo_breaker_Note0"    "Assassinate consumes the bleeds dealing damage based on the duration remaining times the damage per instance."
        "DOTA_Tooltip_Ability_m2_combo_breaker_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m2_combo_breaker_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_combo_breaker_duration"    "ADRENALINE DURATION:"
        "DOTA_Tooltip_Ability_m2_combo_breaker_energy_regen_bonus"    "ADRENALINE ENERGY PER SECOND:"
        "DOTA_Tooltip_Ability_q_smoke_bomb"    "Smoke Bomb"
        "DOTA_Tooltip_Ability_q_smoke_bomb_description"    "Rogue instantly disappears in a cloud of smoke, briefly granting invulnerability and increased movement speed."
        "DOTA_Tooltip_Ability_q_smoke_bomb_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_q_smoke_bomb_movespeed_bonus_pct"    "MOVEMENT SPEED BONUS:"
        "DOTA_Tooltip_Ability_q_smoke_bomb_invul_time"    "INVULNERABILITY:"
        "DOTA_Tooltip_Ability_q_smoke_bomb_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_e_swallow_potion"    "Envenom"
        "DOTA_Tooltip_Ability_e_swallow_potion_description"    "Rogue cuts all enemies infront of her with an envenomed blade, applying a debuff that increases the damage they take from all bleeds and gives rogue a stack of <font color=\"#9af9e0\">Envenom</font>"
        "DOTA_Tooltip_Ability_e_swallow_potion_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_e_swallow_potion_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_swallow_potion_bonus_bleed_percent"    "%ENVENOM BONUS DAMAGE:"
        "DOTA_Tooltip_Ability_r_rupture"    "Rupture"
        "DOTA_Tooltip_Ability_r_rupture_description"    "Rogue throws a dagger that pierces through all enemies and applies a bleed. Bleeds dealt by this ability are amplified by <b><font color=\"#6f92fc\">Envenom</font></b>."
        "DOTA_Tooltip_Ability_r_rupture_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_r_rupture_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_rupture_dmg_dot_base"    "BLEED DAMAGE:"
        "DOTA_Tooltip_Ability_r_rupture_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_space_shadowstep"    "Shadowstep"
        "DOTA_Tooltip_Ability_space_shadowstep_description"    "Rogue marks the ground with a shadowy dagger that can be teleported to."
        "DOTA_Tooltip_Ability_space_shadowstep_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_space_shadowstep_teleport"    "Jump"
        "DOTA_Tooltip_Ability_space_shadowstep_teleport_description"    "Jump to dagger's location and place a dagger from the starting location."
        "DOTA_Tooltip_Ability_space_shadowstep_teleport_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_space_shadowstep_teleport_back"    "Return"
        "DOTA_Tooltip_Ability_space_shadowstep_teleport_back_description"    "Return to start location."
        "DOTA_Tooltip_Ability_templar_passive"    "Mind Over Matter"
        "DOTA_Tooltip_Ability_templar_passive_description"    "A portion of incoming damage is redirected to mana instead of health. Additionally, each power charge grants mana regen, stacking up three times."
        "DOTA_Tooltip_Ability_templar_passive_mind_over_matter"    "%DAMAGE ABSORBED:"
        "DOTA_Tooltip_Ability_templar_passive_power_charge_mana_regen"    "MANA REGEN PER CHARGE:"
        "DOTA_Tooltip_Ability_templar_basic"    "Arcane Spear"
        "DOTA_Tooltip_Ability_templar_basic_description"    "Templar imbues his spear with powerful arcane energy at the expense of his mana, dealing damage to all enemies in front of him."
        "DOTA_Tooltip_Ability_templar_basic_damage"    "BASE DAMAGE:"
        "DOTA_Tooltip_Ability_templar_basic_percent_of_mana_cost"    "%MANA COST OF CURRENT MANA:"
        "DOTA_Tooltip_Ability_templar_basic_bonus_damage"    "%MANA BONUS DAMAGE:"
        "DOTA_Tooltip_Ability_templar_m2_leap"    "Crusader Strike"
        "DOTA_Tooltip_Ability_templar_m2_leap_description"    "Templar leaps to the target area dealing damage to all enemies and granting him a power charge."
        "DOTA_Tooltip_Ability_templar_m2_leap_Note0"    "If Crusader Strike is used at templar's location, he instead just deals damage around him."
        "DOTA_Tooltip_Ability_templar_m2_leap_Note1"    "Templar is granted a power charge regardless if Crusader Strike hits an enemy."
        "DOTA_Tooltip_Ability_templar_m2_leap_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_q_arcane_cage"    "Spirit Link"
        "DOTA_Tooltip_Ability_q_arcane_cage_description"    "Templar links his spirit to another ally, redirecting a portion of damage they take to himself. Additionally, both targets damage is amplified and templar has increased mana regeneration."
        "DOTA_Tooltip_Ability_q_arcane_cage_Note0"    "Spirit Link is broken if the target moves out of range."
        "DOTA_Tooltip_Ability_q_arcane_cage_duration"    "DURATION:"
